,Country (or dependency),Region,Year,Infant_deaths,Incidents_HIV,GDP_per_capita,Population_mln,Schooling,Economy_status_Developed,Life_expectancy,avg_vax_rate,ISO
172,Burkina Faso,Africa,2015,59.6,0.16,653.0,18.11,1.4,0,59.9,80.75,BFA
173,Jamaica,Central America and Caribbean,2015,13.4,0.47,4908.0,2.89,9.6,0,74.1,89.0,JAM
174,Jordan,Middle East,2015,15.0,0.13,4164.0,9.27,10.3,0,74.1,98.25,JOR
175,Ecuador,South America,2015,13.2,0.16,6124.0,16.21,8.4,0,76.1,79.0,ECU
176,Slovenia,European Union,2015,2.1,0.01,20890.0,2.06,12.0,1,80.8,93.5,SVN
177,Djibouti,Africa,2015,54.6,0.22,2653.0,0.91,4.1,0,64.1,83.5,DJI
178,Colombia,South America,2015,13.4,0.19,6176.0,47.52,8.1,0,76.5,89.75,COL
179,Greenland,North America,2015,8.4,,54571.0,0.05,10.88,1,71.4,85.4,GRL
180,France,European Union,2015,2.68,3.0,43659.0,67.75,13.8,1,82.18,98.9,FRA
181,Sudan,Africa,2015,38.04,2.0,752.0,44.44,4.7,0,65.61,80.0,SDN
182,South Sudan,Africa,2015,58.58,27.0,1072.0,10.75,4.2,0,55.48,32.0,SSD
183,Norway,Rest of Europe,2015,1.71,1.0,89154.28,5.41,13.7,1,83.21,96.3,NOR
